text,label
Purpose The reason Barclays exists; the societal need we fulfil We deploy finance responsibly to support people and businesses  acting with empathy and integrity  championing innovation and sustainability  for the common good and the long term.,Environmental
We operate with energy and imagination  championing innovation and sustainability  to make a positive and enduring difference  to take pride in leaving things better than we found them.,Environmental
New ideas and technologies can help customers and communities to unlock opportunities.,Non-Environmental
Our success is judged not only by commercial performance  but also by our contribution to society  and how we act responsibly for the common good and the long term  because these outcomes are mutually dependent.,Non-Environmental
We are at our best when our clients  customers  communities  and colleagues all progress.,Non-Environmental
Empower Trust and support each other to deliver.,Non-Environmental
Make decisions with those closest to the topic.,Non-Environmental
Celebrate success and learn from failure.,Non-Environmental
Challenge Question whether things can be done better.,Non-Environmental
Use insights based on data to inform decisions.,Non-Environmental
Be curious about how we can adapt and improve.,Non-Environmental
Speak up and be open to alternative viewpoints.,Non-Environmental
Drive Focus on outcomes.,Non-Environmental
Be passionate and ambitious about what we do.,Non-Environmental
Actively build collaborative relationships to get things done.,Non-Environmental
Respect We harness the power of diversity and inclusion in our business  trust those we work with  and value everyone's contribution.,Non-Environmental
Integrity We operate with honesty  transparency and fairness in all we do.,Non-Environmental
Service We act with empathy and humility  putting the people and businesses we serve at the centre of what we do.,Non-Environmental
Excellence We champion innovation  and use our energy  expertise and resources to make a positive difference.,Non-Environmental
Stewardship We prize sustainability  and are passionate about leaving things better than we found them.,Environmental
Values Our moral compass; what we believe is right Respect.,Non-Environmental
Stewardship Mindset How we get things done Empower.,Non-Environmental
Drive The Barclays Way... How we behave As employees of Barclays we are all personally accountable for what we do every day.,Non-Environmental
Our five Values are our moral compass; the fundamentals of who we are and what we believe is right.,Non-Environmental
Our Mindset (Empower  Challenge  Drive) shapes how we take action  living by our Values  driven by our Purpose  always with our customers and clients at the heart of what we do.,Non-Environmental
We apply our Values and Mindset consistently across the bank in everything we do.,Non-Environmental
This means that we act fairly  ethically and openly and abide by standards which are  in many cases  higher than those set by the laws and regulations which apply to our business.,Non-Environmental
And it means that we get things done.,Non-Environmental
In doing this  we apply a range of criteria over and above financial considerations  aimed at building a sustainable  strong and profitable business for the long term and adding value to our business relationships and the broader communities in which we live and work.,Non-Environmental
We benchmark our individual and corporate performance not just on commercial results  but also on how we demonstrate our Values and Mindset in our daily work.,Non-Environmental
As employees of Barclays we are all personally accountable for what we do every day.,Non-Environmental
Personal accountability is central to our culture.,Non-Environmental
How we behave is instrumental in achieving the highest standards of performance  adding value to our customers and clients and meeting our regulatory obligations.,Non-Environmental
Act with integrity 2.,Non-Environmental
Act with due skill  care and diligence 3.,Non-Environmental
Be open and co-operative with regulators 4.,Non-Environmental
Treat customers fairly 5.,Non-Environmental
Observe proper standards of market conduct.,Non-Environmental
Although these expectations apply in particular as part of the Individual Accountability Regime  Barclays expects all colleagues to comply with these requirements.,Non-Environmental
Colleagues should therefore familiarise themselves with and adhere to the relevant policies covering the Individual Accountability Regime .,Non-Environmental
How we behave In order to achieve this  we expect colleagues to: 1 Colleagues in scope of the Individual Accountability Regime are Senior Managers  Material Risk Takers  Certified Individuals  all UK (excluding ancillary staff) and overseas colleagues who have the potential to deal with UK customers.,Non-Environmental
Our role in society In doing this we: Banks play a key role in connecting the providers and users of capital.,Non-Environmental
Barclays recognises this role in serving society  and our success as a business has always been inextricably linked to the progress of the people  communities and businesses that we serve.,Non-Environmental
As societys expectations of businesses continue to evolve  we aim to stay ahead of those expectations.,Non-Environmental
It is by focusing on our core products and services  and our relationships that we can make the greatest positive impact.,Non-Environmental
We know that our success over the long term is based not just on how well we run the organisation commercially  but also on how well we manage it to protect the environment  support positive social progress  and make responsible  well-governed decisions.,Environmental
We are focused on the areas where we can have the greatest long-term impact: making growth green  sustainable and inclusive; managing the environmental and social impacts of our business; running a responsible business; and investing in our communities.,Environmental
take account of the broader impacts of our business operations.,Non-Environmental
This includes identifying all those who may be affected (directly and indirectly) by those decisions  and making critical evaluation of social and environmental impacts an integral part of our assessment of client financial propositions  supplier relationships and the development of new products  manage our responsibilities to support governments and civil society organisations in respecting and upholding human rights principles wherever we operate  manage our environmental impact through financing the growth of renewable energy sources and next generation technologies  taking a responsible and sustainable approach to the necessary financing of energy sources with a higher environmental impact.,Environmental
We aim to maintain and improve our progress on reducing the carbon footprint of our own operations and supply chain throughout the world  partner with leading charities and not-for-profit organisations to deliver impactful programmes in the communities where Barclays operates  support colleagues in undertaking volunteering and charitable matched fundraising in their local communities.,Environmental
We believe that Barclays should take a leading role in tackling climate change and help accelerate the transition to a low- carbon economy.,Environmental
Our ambition is to become a net zero bank by 2050.,Non-Environmental
And weve made a firm commitment to align our entire financing portfolio to the goals of the Paris Agreement.,Non-Environmental
That means our own operations  and the financing we do for our clients  in every sector  will support the goal of limiting global warming.,Non-Environmental
To support our communities deal with the unprecedented social and economic crisis caused by COVID-19  Barclays has established a 100m COVID-19 Community Aid Package: 50m will be donated to charity partners around the world to support vulnerable people impacted by the crisis and 50m has been committed to match colleagues personal donations and active fundraising efforts for their chosen charities supporting COVID-19 relief.,Non-Environmental
